"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"ЛК модератора","Кабинет: API-эндпоинты","","0","0","9","0","0"
"Безопасность","Правила авторизации (SecurityConfig)","","0","0","6","0","0"
"ЛК модератора","OAuth2: маппинг пользователей","","0","0","4","0","0"
"Персистентность","Снимок комнаты","","0","0","2","0","0"
"Сервисы","Управление комнатами","","0","0","6","0","0"
"ЛК модератора","Хранилище пользователей","","0","0","4","0","0"
"ЛК модератора","История сессий: хранилище","","0","0","4","0","0"
"Сервисы","Ограничение частоты запросов","","0","0","4","0","0"
"WebSocket","Контроллер покера","","0","0","8","0","0"
"Персистентность","Хранилище снимков комнат","","0","0","4","0","0"
"Наблюдаемость","Health-индикатор персистентности","","0","0","2","0","0"
